suite,region_number,group,model,match_plural,match_sing,mismatch_plural,mismatch_sing
SVNA-pp,6,00 10,grnn,5.596355,3.983041,NA,6.582504
SVNA-pp,6,00 10,human,632,592.25,NA,1080.9333333333334
SVNA-pp,6,00 10,jrnn,8.514923,8.360172,NA,10.432925
SVNA-pp,6,00 10,llama,5.33171021367845,5.90820807890136,NA,7.11612554418583
SVNA-pp,6,00 10,rnng,4.102313333333334,4.491456666666667,NA,8.729286666666667
SVNA-pp,6,00 11,gpt2,6.974597,NA,9.089692,NA
SVNA-pp,6,00 11,grnn,4.483918,NA,8.397744,NA
SVNA-pp,6,00 11,human,1083,NA,1199.6666666666667,NA
SVNA-pp,6,00 11,jrnn,8.276586,NA,9.496718,NA
SVNA-pp,6,00 11,llama,8.09336414465166,NA,13.0128151963304,NA
SVNA-pp,6,00 11,rnng,3.1003966666666667,NA,6.629673333333334,NA
SVNA-pp,6,00 12,gpt2,NA,4.567844,NA,10.003002
SVNA-pp,6,00 12,grnn,NA,4.680637,NA,7.582945
SVNA-pp,6,00 12,human,NA,728.8571428571429,NA,645
SVNA-pp,6,00 12,jrnn,NA,5.773818,NA,8.457026
SVNA-pp,6,00 12,llama,NA,4.40058890958182,NA,12.0425161119825
SVNA-pp,6,00 12,rnng,NA,3.4455633333333338,NA,6.16528
SVNA-pp,6,00 13,gpt2,4.44772,4.366943,9.364222,6.502708
SVNA-pp,6,00 13,grnn,4.275553,3.825003,7.878762,7.984244
SVNA-pp,6,00 13,human,811.4,647.3333333333334,818.3333333333334,815.6666666666666
SVNA-pp,6,00 13,jrnn,5.835113,5.701029,7.789377,9.247249
SVNA-pp,6,00 13,llama,5.08186358242732,3.76966814234002,8.51128777290649,9.64953407433157
SVNA-pp,6,00 13,rnng,2.7851200000000005,3.584796666666667,6.84957,7.265276666666668
SVNA-pp,6,00 14,gpt2,15.291517,14.739281,16.497619,15.653722
SVNA-pp,6,00 14,grnn,15.027958,12.738461,14.854118,15.263298
SVNA-pp,6,00 14,human,1132.5,1069.5555555555557,1134.6666666666667,1065
SVNA-pp,6,00 14,jrnn,14.963921,15.578639,16.04624,16.871742
SVNA-pp,6,00 14,llama,15.2683745697057,14.1067020802371,17.6002983256137,16.343622711275
SVNA-pp,6,00 14,rnng,8.305033333333332,8.14123,10.251236666666665,10.795000000000002
SVNA-pp,6,00 15,gpt2,17.362192,15.421354,18.546599,16.406537
SVNA-pp,6,00 15,grnn,16.027437,18.8283,19.156284,17.579731
SVNA-pp,6,00 15,human,1279.5,1814.8,1422.125,2214.6666666666665
SVNA-pp,6,00 15,jrnn,16.429688,17.809671,17.468948,18.130518
SVNA-pp,6,00 15,llama,16.9138469255178,18.0257118089613,18.5543164944898,18.7073781403199
SVNA-pp,6,00 15,rnng,10.866366666666666,14.659533333333334,14.144166666666665,12.910633333333335
SVNA-pp,6,00 16,gpt2,13.459456,15.202596,17.552401,14.964011
SVNA-pp,6,00 16,grnn,8.937475,11.925815,14.769738,11.165043
SVNA-pp,6,00 16,human,768.3333333333334,940,853.5,1077.625
SVNA-pp,6,00 16,jrnn,11.621664,16.241411,13.995901,14.319307
SVNA-pp,6,00 16,llama,9.87859991525567,12.231929282915,15.0681448136776,14.4893509903201
SVNA-pp,6,00 16,rnng,8.63011,8.853716666666665,11.4266,11.276113333333333
SVNA-pp,6,00 17,gpt2,11.530408,16.412991,18.322759,11.878901
SVNA-pp,6,00 17,grnn,12.320695,16.789867,17.870317,10.473912
SVNA-pp,6,00 17,human,960.3636363636364,1107.5,1058,1401.8
SVNA-pp,6,00 17,jrnn,10.783656,16.146482,16.958549,10.497029
SVNA-pp,6,00 17,llama,9.88085258264917,14.2949208505737,16.4597354114836,9.71248952735126
SVNA-pp,6,00 17,rnng,6.511416666666666,7.530633333333333,9.823546666666665,8.464243333333334
SVNA-pp,6,00 18,gpt2,16.753969,15.86491,20.202296,16.760518
SVNA-pp,6,00 18,grnn,16.88662,19.445255,18.309338,16.384411
SVNA-pp,6,00 18,human,876.75,864,916.875,913
SVNA-pp,6,00 18,jrnn,16.099552,18.855434,19.062529,17.330133
